00001	065	000	000
00002	065	000	000
00003	065	000	000
00004	066	000	000
00005	066	000	000
00006	066	000	000
00007	067	000	000
00008	067	000	000
00009	067	000	000
00010	019	000	000
00011	061	000	000
00012	014	000	000
00013	019	000	000
00014	061	000	000
00015	068	000	000
00016	051	000	000
00017	051	000	000
00018	051	000	000
00019	050	062	000
00020	050	062	000
00021	051	000	000
00022	051	000	000
00023	022	061	000
00024	022	061	000
00025	009	000	000
00026	009	000	000
00027	008	000	000
00028	008	000	000
00029	038	000	000
00030	038	000	000
00031	038	000	000
00032	038	000	000
00033	038	000	000
00034	038	000	000
00035	056	000	000
00036	056	000	000
00037	018	000	000
00038	018	000	000
00039	056	000	000
00040	056	000	000
00041	039	000	000
00042	039	000	000
00043	034	000	000
00044	034	000	000
00045	034	000	000
00046	027	000	000
00047	027	000	000
00048	014	000	000
00049	019	000	000
00050	008	071	000
00051	008	071	000
00052	053	000	000
00053	007	000	000
00054	006	013	000
00055	006	013	000
00056	072	000	000
00057	072	000	000
00058	022	018	000
00059	022	018	000
00060	011	006	000
00061	011	006	000
00062	011	006	000
00063	028	039	000
00064	028	039	000
00065	028	039	000
00066	062	000	000
00067	062	000	000
00068	062	000	000
00069	034	000	000
00070	034	000	000
00071	034	000	000
00072	029	064	000
00073	029	064	000
00074	069	005	000
00075	069	005	000
00076	069	005	000
00077	050	018	000
00078	050	018	000
00079	012	020	000
00080	012	020	000
00081	042	005	000
00082	042	005	000
00083	051	039	000
00084	050	048	000
00085	050	048	000
00086	047	000	000
00087	047	000	000
00088	001	060	000
00089	001	060	000
00090	075	000	000
00091	075	000	000
00092	026	000	000
00093	026	000	000
00094	026	000	000
00095	069	005	000
00096	015	000	000
00097	015	000	000
00098	052	075	000
00099	052	075	000
00100	043	009	000
00101	043	009	000
00102	034	000	000
00103	034	000	000
00104	069	031	000
00105	069	031	000
00106	007	000	000
00107	051	000	000
00108	020	012	000
00109	026	000	000
00110	026	000	000
00111	031	069	000
00112	031	069	000
00113	030	032	000
00114	034	000	000
00115	048	000	000
00116	033	000	000
00117	038	000	000
00118	033	041	000
00119	033	041	000
00120	035	030	000
00121	035	030	000
00122	043	000	000
00123	068	000	000
00124	012	000	000
00125	009	000	000
00126	049	000	000
00127	052	000	000
00128	022	000	000
00129	033	000	000
00130	022	000	000
