201	201	0
201	10001	1
201	10002	2
201	10003	3
201	10004	4
201	10005	5
201	10006	6
201	10007	7
201	10008	8
201	10009	9
201	10010	10
201	10011	11
201	10012	12
201	10013	13
201	10014	14
201	10015	15
201	10016	16
201	10017	17
201	10018	18
201	10019	19
201	10020	20
201	10021	21
201	10022	22
201	10023	23
201	10024	24
201	10025	25
201	10026	26
201	10027	27
493	493	0
493	10045	1
493	10047	2
493	10052	3
493	10050	4
493	10054	5
493	10041	6
493	10048	7
493	10055	8
493	10046	9
493	10056	10
493	10049	11
493	10044	12
493	10053	13
493	10051	14
493	10043	15
493	10042	16
493	10057	31
493	10085	17
646	646	0
646	10083	1
646	10082	2
649	649	0
649	10075	1
649	10076	2
649	10077	3
649	10078	4
676	676	0
676	10115	1
676	10116	2
676	10117	3
676	10118	4
676	10119	5
676	10120	6
676	10121	7
676	10122	8
676	10123	9
